commit	val_bpb	memory_gb	status	description
b45089e	1.149790	3.6	keep	baseline: DEPTH=4, DEVICE_BATCH_SIZE=32, TOTAL_BATCH_SIZE=2^17, WINDOW_PATTERN=L
e1f3271	0.000000	0.0	crash	DEPTH=12, DEVICE_BATCH_SIZE=128 (OOM 22GB)
ac85caf	0.000000	0.0	crash	DEPTH=8, DEVICE_BATCH_SIZE=64 (OOM 20GB)
06de674	1.205856	11.4	discard	DEPTH=8, DEVICE_BATCH_SIZE=32 (worse than baseline, fewer steps)
134480a	1.157856	14.0	discard	DEPTH=4, DEVICE_BATCH_SIZE=128, TOTAL_BATCH_SIZE=2^18 (larger batch, slightly worse)
38b8fc5	1.174851	6.9	discard	DEPTH=6, 384-dim (816 steps, fewer steps than DEPTH=4, worse)
d07dfed	1.155235	3.6	discard	TOTAL_BATCH_SIZE=2^16, 3690 steps (more steps, slightly worse)
68dc78f	1.179579	6.3	discard	ASPECT_RATIO=128 (512-dim wider), 804 steps (slower, worse)
ec91961	1.154717	3.6	discard	MATRIX_LR=0.08 (2x), 1880 steps (marginally worse)
86c116b	1.152077	3.6	discard	WARMDOWN_RATIO=0.3 (less cooldown), 1879 steps (slightly worse)
2352893	1.150980	3.6	discard	MATRIX_LR=0.05 WEIGHT_DECAY=0.1 (marginally worse)
82259b4	1.149138	4.7	keep	MLP expansion 4x->8x (beats baseline: 1503 steps, 13.6M params)
3119d9c	1.182876	7.9	discard	DEPTH=5 + 8x MLP (736 steps, too slow)
ff5863f	1.150564	4.1	discard	MLP 6x expansion (1670 steps, worse than 8x)
891e6f4	1.150414	4.7	discard	8x MLP + MATRIX_LR=0.05 (slightly worse than default LR)
8f23a80	1.142241	4.6	keep	8x MLP + TOTAL_BATCH_SIZE=2^16 (2950 steps, new best!)
d9f8793	0.000000	0.0	crash	8x MLP + TOTAL_BATCH_SIZE=2^15 + bs=32 (assert: batch too small for device_bs)
046c279	1.164443	2.4	discard	8x MLP + TOTAL_BATCH_SIZE=2^15 + bs=16 (5276 steps, batch too small)
dc79b0c	1.154287	4.6	discard	GeLU instead of ReLU^2 in 8x MLP (worse)
378b348	1.147044	4.6	keep	EMBEDDING_LR=1.2 + 8x MLP + 2^16 batch (new best!)
9b9ecee	1.144491	4.6	discard	EMBEDDING_LR=1.8 (too high, worse than 1.2)
d1bfa4b	1.145539	4.6	discard	WARMUP_RATIO=0.05 (no warmup better for this config)
4ac9f99	1.148396	4.6	discard	ADAM_BETAS=(0.9, 0.95) (beta1=0.8 is better)
eab3f0c	1.158194	4.5	discard	disable value embeddings (VE helps even at 256-dim)
62b4266	1.146982	4.7	discard	VE on all layers (tied with best, added complexity not worth it)
b8ed116	1.144759	4.6	discard	UNEMBEDDING_LR=0.01 (worse, default 0.004 is better)
ccc12b0	1.140234	4.6	keep	WEIGHT_DECAY=0.0 (new best! WD hurts at 2950 steps)
b82dc1d	1.143801	4.6	discard	MATRIX_LR=0.05 + no WD (default 0.04 better)
f711b09	1.143566	4.6	discard	remove softcap (softcap helps stabilize training)
637177d	1.145981	4.6	discard	HEAD_DIM=64 (4 heads, worse than 2 heads with HEAD_DIM=128)
6629c5d	1.123275	6.4	keep	ASPECT_RATIO=96 (384-dim, 3 heads, 24.4M params, massive best!)
27dae7a	1.126152	8.3	discard	ASPECT_RATIO=128 (512-dim, 1170 steps, fewer steps too costly)
6bb969c	1.123301	7.8	discard	DEPTH=5 ASPECT_RATIO=76 (384-dim, more depth, 1434 steps, tied but slower)
8936dcc	1.122023	6.4	keep	WARMDOWN_RATIO=0.6 (longer cooldown, new best!)
71387c7	1.122851	6.4	discard	WARMDOWN_RATIO=0.7 (too much cooldown, 0.6 was better)
b3a4a96	1.120163	6.4	keep	MATRIX_LR=0.05 + WARMDOWN=0.6 (new best!)
8d20238	1.121460	6.4	discard	MATRIX_LR=0.06 (worse, 0.05 is better)
39525f2	1.121559	6.4	discard	EMBEDDING_LR=1.5 (worse, 1.2 is better)
5ac3d5c	1.228866	5.7	discard	SwiGLU MLP (much worse than ReLU2 8x)
c791e81	1.120822	6.4	discard	ADAM_BETAS=(0.85, 0.95) (worse, 0.8 is better)
11ee563	1.127571	12.7	discard	DEVICE_BATCH_SIZE=64 TOTAL_BATCH_SIZE=2^17 (901 steps, too few)
631277a	1.127201	8.0	discard	12x MLP expansion (1414 steps, too slow for gain)
671f59d	1.157644	6.1	discard	parallel attn+MLP (worse, sequential residual matters)
